epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_seconds
1,1.8332,54.58,0.3796,89.54,857.89
2,0.7481,78.63,0.2802,91.73,1114.17
3,0.5921,82.85,0.2245,93.56,1011.58
4,0.4945,85.65,0.1996,93.98,1013.86
5,0.4466,86.81,0.1891,94.52,1044.06
6,0.4092,87.81,0.1756,95.04,1148.04
7,0.3762,88.8,0.1591,95.32,995.13
8,0.3559,89.39,0.1551,95.43,1025.81
9,0.3388,89.75,0.1563,95.27,922.73
10,0.3214,90.33,0.1532,95.6,948.39
11,0.3045,90.79,0.1561,95.64,925.48
12,0.2891,91.13,0.1539,95.77,894.59
13,0.2926,91.15,0.1522,95.77,6970.73
14,0.2783,91.59,0.1406,96.2,1173.14
15,0.2666,91.75,0.1332,96.37,1120.6
16,0.2691,91.82,0.1316,96.23,1037.98
17,0.259,92.12,0.136,96.19,1095.88
18,0.2487,92.32,0.1373,96.1,1030.04
19,0.2532,92.34,0.144,96.05,884.42
