class_id,tamil_char,codepoints,precision,recall,f1_score,support
0,ா,U+0BBE,0.9718,0.9556,0.9636,180.0
1,அ,U+0B85,0.9770,0.9444,0.9605,180.0
2,ஆ,U+0B86,0.9771,0.9500,0.9634,180.0
3,இ,U+0B87,0.9290,0.9444,0.9366,180.0
4,ஈ,U+0B88,0.9827,0.9444,0.9632,180.0
5,உ,U+0B89,0.9727,0.9889,0.9807,180.0
6,ஊ,U+0B8A,1.0000,0.9611,0.9802,180.0
7,எ,U+0B8E,0.9396,0.9500,0.9448,180.0
8,ஏ,U+0B8F,0.9540,0.9222,0.9379,180.0
9,ஐ,U+0B90,0.9290,0.9444,0.9366,180.0
10,ஒ,U+0B92,0.8138,0.8500,0.8315,180.0
11,ஓ,U+0B93,0.8613,0.8278,0.8442,180.0
12,ஔ,U+0B94,0.9677,1.0000,0.9836,180.0
13,ஃ,U+0B83,0.9889,0.9889,0.9889,180.0
14,க்,U+0B95 U+0BCD,0.9609,0.9556,0.9582,180.0
15,க,U+0B95,0.9371,0.9111,0.9239,180.0
16,கி,U+0B95 U+0BBF,0.9118,0.8611,0.8857,180.0
17,கீ,U+0B95 U+0BC0,0.9326,0.9222,0.9274,180.0
18,கு,U+0B95 U+0BC1,0.8505,0.9167,0.8824,180.0
19,கூ,U+0B95 U+0BC2,0.9669,0.9722,0.9695,180.0
20,ச்,U+0B9A U+0BCD,0.9067,0.9722,0.9383,180.0
21,ச,U+0B9A,0.9527,0.8944,0.9226,180.0
22,சி,U+0B9A U+0BBF,0.8842,0.9333,0.9081,180.0
23,சீ,U+0B9A U+0BC0,0.9538,0.9167,0.9348,180.0
24,சு,U+0B9A U+0BC1,0.9611,0.9611,0.9611,180.0
25,சூ,U+0B9A U+0BC2,0.9454,0.9611,0.9532,180.0
26,ங்,U+0B99 U+0BCD,0.9940,0.9278,0.9598,180.0
27,ங,U+0B99,0.8894,0.9833,0.9340,180.0
28,ஙி,U+0B99 U+0BBF,0.9505,0.9611,0.9558,180.0
29,ஙீ,U+0B99 U+0BC0,0.9663,0.9556,0.9609,180.0
30,ஙு,U+0B99 U+0BC1,1.0000,0.9667,0.9831,180.0
31,ஙூ,U+0B99 U+0BC2,0.9780,0.9889,0.9834,180.0
32,ஞ்,U+0B9E U+0BCD,0.9316,0.9833,0.9568,180.0
33,ஞ,U+0B9E,0.9298,0.8833,0.9060,180.0
34,ஞி,U+0B9E U+0BBF,0.9706,0.9167,0.9429,180.0
35,ஞீ,U+0B9E U+0BC0,0.8842,0.9333,0.9081,180.0
36,ஞு,U+0B9E U+0BC1,0.9659,0.9444,0.9551,180.0
37,ஞூ,U+0B9E U+0BC2,0.9305,0.9667,0.9482,180.0
38,ட்,U+0B9F U+0BCD,0.9402,0.9611,0.9505,180.0
39,ட,U+0B9F,0.9889,0.9889,0.9889,180.0
40,டி,U+0B9F U+0BBF,0.9167,0.9778,0.9462,180.0
