class_id,tamil_char,codepoints,precision,recall,f1_score,support
0,ா,U+0BBE,0.8450,0.6056,0.7055,180.0
1,அ,U+0B85,0.9205,0.7722,0.8399,180.0
2,ஆ,U+0B86,0.7793,0.9222,0.8448,180.0
3,இ,U+0B87,0.7944,0.7944,0.7944,180.0
4,ஈ,U+0B88,0.7269,0.9167,0.8108,180.0
5,உ,U+0B89,0.8485,0.9333,0.8889,180.0
6,ஊ,U+0B8A,0.8307,0.8722,0.8509,180.0
7,எ,U+0B8E,0.7725,0.7167,0.7435,180.0
8,ஏ,U+0B8F,0.7282,0.7889,0.7573,180.0
9,ஐ,U+0B90,0.8418,0.7389,0.7870,180.0
10,ஒ,U+0B92,0.6879,0.6611,0.6742,180.0
11,ஓ,U+0B93,0.7625,0.6778,0.7176,180.0
12,ஔ,U+0B94,0.8750,0.7389,0.8012,180.0
13,ஃ,U+0B83,0.9820,0.9111,0.9452,180.0
14,க்,U+0B95 U+0BCD,0.6345,0.8778,0.7366,180.0
15,க,U+0B95,0.6918,0.6111,0.6490,180.0
16,கி,U+0B95 U+0BBF,0.7879,0.4333,0.5591,180.0
17,கீ,U+0B95 U+0BC0,0.7609,0.5833,0.6604,180.0
18,கு,U+0B95 U+0BC1,0.6575,0.5333,0.5890,180.0
19,கூ,U+0B95 U+0BC2,0.9803,0.8278,0.8976,180.0
20,ச்,U+0B9A U+0BCD,0.7975,0.7000,0.7456,180.0
21,ச,U+0B9A,0.6712,0.8278,0.7413,180.0
22,சி,U+0B9A U+0BBF,0.7100,0.7889,0.7474,180.0
23,சீ,U+0B9A U+0BC0,0.6728,0.8111,0.7355,180.0
24,சு,U+0B9A U+0BC1,0.8916,0.8222,0.8555,180.0
25,சூ,U+0B9A U+0BC2,0.8559,0.5611,0.6779,180.0
26,ங்,U+0B99 U+0BCD,0.8824,0.7500,0.8108,180.0
27,ங,U+0B99,0.8466,0.8889,0.8672,180.0
28,ஙி,U+0B99 U+0BBF,0.7464,0.8667,0.8021,180.0
29,ஙீ,U+0B99 U+0BC0,0.8643,0.6722,0.7562,180.0
30,ஙு,U+0B99 U+0BC1,0.8607,0.9611,0.9081,180.0
31,ஙூ,U+0B99 U+0BC2,0.8973,0.9222,0.9096,180.0
32,ஞ்,U+0B9E U+0BCD,0.6631,0.6889,0.6757,180.0
33,ஞ,U+0B9E,0.5208,0.5556,0.5376,180.0
34,ஞி,U+0B9E U+0BBF,0.6256,0.7611,0.6867,180.0
35,ஞீ,U+0B9E U+0BC0,0.8390,0.5500,0.6644,180.0
36,ஞு,U+0B9E U+0BC1,0.6782,0.7611,0.7173,180.0
37,ஞூ,U+0B9E U+0BC2,0.6500,0.5778,0.6118,180.0
38,ட்,U+0B9F U+0BCD,0.8682,0.6222,0.7249,180.0
39,ட,U+0B9F,0.7124,0.9222,0.8039,180.0
40,டி,U+0B9F U+0BBF,0.8313,0.7667,0.7977,180.0
41,டீ,U+0B9F U+0BC0,0.8897,0.7167,0.7938,180.0
42,டு,U+0B9F U+0BC1,0.7286,0.8500,0.7846,180.0
43,டூ,U+0B9F U+0BC2,0.6727,0.8222,0.7400,180.0
44,ண்,U+0BA3 U+0BCD,0.6484,0.9222,0.7615,180.0
45,ண,U+0BA3,0.7277,0.7722,0.7493,180.0
46,ணி,U+0BA3 U+0BBF,0.8750,0.5056,0.6408,180.0
47,ணீ,U+0BA3 U+0BC0,0.8309,0.6278,0.7152,180.0
48,ணு,U+0BA3 U+0BC1,0.6952,0.7222,0.7084,180.0
49,ணூ,U+0BA3 U+0BC2,0.6667,0.7667,0.7132,180.0
50,த்,U+0BA4 U+0BCD,0.6070,0.6778,0.6404,180.0
51,த,U+0BA4,0.7021,0.7333,0.7174,180.0
52,தி,U+0BA4 U+0BBF,0.7974,0.6778,0.7327,180.0
53,தீ,U+0BA4 U+0BC0,0.6978,0.7056,0.7017,180.0
54,து,U+0BA4 U+0BC1,0.8585,0.5056,0.6364,180.0
55,தூ,U+0BA4 U+0BC2,0.9032,0.6222,0.7368,180.0
56,ந்,U+0BA8 U+0BCD,0.6079,0.7667,0.6781,180.0
57,ந,U+0BA8,0.7638,0.8444,0.8021,180.0
58,நி,U+0BA8 U+0BBF,0.7209,0.6889,0.7045,180.0
59,நீ,U+0BA8 U+0BC0,0.7973,0.6556,0.7195,180.0
60,நு,U+0BA8 U+0BC1,0.6186,0.8111,0.7019,180.0
61,நூ,U+0BA8 U+0BC2,0.6537,0.7444,0.6961,180.0
62,ப்,U+0BAA U+0BCD,0.8462,0.8556,0.8508,180.0
63,ப,U+0BAA,0.9515,0.8722,0.9101,180.0
64,பி,U+0BAA U+0BBF,0.7778,0.7000,0.7368,180.0
65,பீ,U+0BAA U+0BC0,0.6141,0.8222,0.7031,180.0
66,பு,U+0BAA U+0BC1,0.7445,0.9389,0.8305,180.0
67,பூ,U+0BAA U+0BC2,0.7941,0.9000,0.8438,180.0
68,ம்,U+0BAE U+0BCD,0.7761,0.8667,0.8189,180.0
69,ம,U+0BAE,0.8343,0.8389,0.8366,180.0
70,மி,U+0BAE U+0BBF,0.5754,0.8056,0.6713,180.0
71,மீ,U+0BAE U+0BC0,0.7656,0.5444,0.6364,180.0
72,மு,U+0BAE U+0BC1,0.7037,0.1056,0.1836,180.0
73,மூ,U+0BAE U+0BC2,0.5000,0.7667,0.6053,180.0
74,ய்,U+0BAF U+0BCD,0.8492,0.8444,0.8468,180.0
75,ய,U+0BAF,0.8762,0.9833,0.9267,180.0
76,யி,U+0BAF U+0BBF,0.8404,0.4389,0.5766,180.0
77,யீ,U+0BAF U+0BC0,0.6432,0.8111,0.7174,180.0
78,யு,U+0BAF U+0BC1,0.9389,0.6833,0.7910,180.0
79,யூ,U+0BAF U+0BC2,0.8519,0.6389,0.7302,180.0
80,ர்,U+0BB0 U+0BCD,0.7806,0.8500,0.8138,180.0
81,ர,U+0BB0,0.9474,0.7000,0.8051,180.0
82,ரி,U+0BB0 U+0BBF,0.6652,0.8500,0.7463,180.0
83,ரீ,U+0BB0 U+0BC0,0.7268,0.8278,0.7740,180.0
84,ரு,U+0BB0 U+0BC1,0.5732,0.5222,0.5465,180.0
85,ரூ,U+0BB0 U+0BC2,0.6581,0.5667,0.6090,180.0
86,ல்,U+0BB2 U+0BCD,0.6000,0.9333,0.7304,180.0
87,ல,U+0BB2,0.7418,0.8778,0.8041,180.0
88,லி,U+0BB2 U+0BBF,0.8957,0.5722,0.6983,180.0
89,லீ,U+0BB2 U+0BC0,0.7888,0.7056,0.7449,180.0
90,லு,U+0BB2 U+0BC1,0.8081,0.8889,0.8466,180.0
91,லூ,U+0BB2 U+0BC2,0.9267,0.7722,0.8424,180.0
92,ள்,U+0BB3 U+0BCD,0.8021,0.8333,0.8174,180.0
93,ள,U+0BB3,0.6909,0.8444,0.7600,180.0
94,ளி,U+0BB3 U+0BBF,0.7166,0.7444,0.7302,180.0
95,ளீ,U+0BB3 U+0BC0,0.8210,0.7389,0.7778,180.0
