class_id,tamil_char,codepoints,precision,recall,f1_score,support
0,ா,U+0BBE,0.8321,0.6333,0.7192,180.0
1,அ,U+0B85,0.8976,0.6333,0.7427,180.0
2,ஆ,U+0B86,0.8779,0.8389,0.8580,180.0
3,இ,U+0B87,0.5470,0.8722,0.6724,180.0
4,ஈ,U+0B88,0.7293,0.9278,0.8166,180.0
5,உ,U+0B89,0.5101,0.9778,0.6705,180.0
6,ஊ,U+0B8A,0.8322,0.6611,0.7368,180.0
7,எ,U+0B8E,0.8442,0.7222,0.7784,180.0
8,ஏ,U+0B8F,0.5811,0.8556,0.6921,180.0
9,ஐ,U+0B90,0.8209,0.6111,0.7006,180.0
10,ஒ,U+0B92,0.4490,0.6111,0.5176,180.0
11,ஓ,U+0B93,0.5714,0.4667,0.5138,180.0
12,ஔ,U+0B94,0.8992,0.5944,0.7157,180.0
13,ஃ,U+0B83,0.9293,0.9500,0.9396,180.0
14,க்,U+0B95 U+0BCD,0.6272,0.7944,0.7010,180.0
15,க,U+0B95,0.7984,0.5500,0.6513,180.0
16,கி,U+0B95 U+0BBF,0.4641,0.5389,0.4987,180.0
17,கீ,U+0B95 U+0BC0,0.7133,0.5944,0.6485,180.0
18,கு,U+0B95 U+0BC1,0.5467,0.6500,0.5939,180.0
19,கூ,U+0B95 U+0BC2,0.8788,0.8056,0.8406,180.0
20,ச்,U+0B9A U+0BCD,0.7904,0.7333,0.7608,180.0
21,ச,U+0B9A,0.7945,0.6444,0.7117,180.0
22,சி,U+0B9A U+0BBF,0.8889,0.6222,0.7320,180.0
23,சீ,U+0B9A U+0BC0,0.6863,0.7778,0.7292,180.0
24,சு,U+0B9A U+0BC1,0.8012,0.7389,0.7688,180.0
25,சூ,U+0B9A U+0BC2,0.8621,0.5556,0.6757,180.0
26,ங்,U+0B99 U+0BCD,0.7487,0.8278,0.7863,180.0
27,ங,U+0B99,0.8156,0.8111,0.8134,180.0
28,ஙி,U+0B99 U+0BBF,0.6042,0.8056,0.6905,180.0
29,ஙீ,U+0B99 U+0BC0,0.5658,0.7167,0.6324,180.0
30,ஙு,U+0B99 U+0BC1,0.7632,0.9667,0.8529,180.0
31,ஙூ,U+0B99 U+0BC2,0.8919,0.9167,0.9041,180.0
32,ஞ்,U+0B9E U+0BCD,0.7745,0.4389,0.5603,180.0
33,ஞ,U+0B9E,0.3533,0.6889,0.4670,180.0
34,ஞி,U+0B9E U+0BBF,0.7086,0.6889,0.6986,180.0
35,ஞீ,U+0B9E U+0BC0,0.8240,0.5722,0.6754,180.0
36,ஞு,U+0B9E U+0BC1,0.6737,0.7111,0.6919,180.0
37,ஞூ,U+0B9E U+0BC2,0.3975,0.7111,0.5100,180.0
38,ட்,U+0B9F U+0BCD,0.7436,0.8056,0.7733,180.0
39,ட,U+0B9F,0.9149,0.7167,0.8037,180.0
40,டி,U+0B9F U+0BBF,0.9725,0.5889,0.7336,180.0
41,டீ,U+0B9F U+0BC0,0.7957,0.8222,0.8087,180.0
42,டு,U+0B9F U+0BC1,0.6651,0.7833,0.7194,180.0
43,டூ,U+0B9F U+0BC2,0.6167,0.8222,0.7048,180.0
44,ண்,U+0BA3 U+0BCD,0.6187,0.8833,0.7277,180.0
45,ண,U+0BA3,0.6560,0.7944,0.7186,180.0
46,ணி,U+0BA3 U+0BBF,0.7258,0.5000,0.5921,180.0
47,ணீ,U+0BA3 U+0BC0,0.9167,0.5500,0.6875,180.0
48,ணு,U+0BA3 U+0BC1,0.6193,0.6778,0.6472,180.0
49,ணூ,U+0BA3 U+0BC2,0.8231,0.5944,0.6903,180.0
50,த்,U+0BA4 U+0BCD,0.8381,0.4889,0.6175,180.0
51,த,U+0BA4,0.7207,0.7167,0.7187,180.0
52,தி,U+0BA4 U+0BBF,0.7671,0.6222,0.6871,180.0
53,தீ,U+0BA4 U+0BC0,0.7939,0.5778,0.6688,180.0
54,து,U+0BA4 U+0BC1,0.8833,0.5889,0.7067,180.0
