class_id,tamil_char,codepoints,precision,recall,f1_score,support
0,ா,U+0BBE,0.7227,0.4778,0.5753,180.0
1,அ,U+0B85,0.7193,0.9111,0.8039,180.0
2,ஆ,U+0B86,0.9444,0.8500,0.8947,180.0
3,இ,U+0B87,0.6193,0.7500,0.6784,180.0
4,ஈ,U+0B88,0.7333,0.8556,0.7897,180.0
5,உ,U+0B89,0.8830,0.9222,0.9022,180.0
6,ஊ,U+0B8A,0.7868,0.8611,0.8223,180.0
7,எ,U+0B8E,0.7345,0.7222,0.7283,180.0
8,ஏ,U+0B8F,0.7320,0.7889,0.7594,180.0
9,ஐ,U+0B90,0.7610,0.6722,0.7139,180.0
10,ஒ,U+0B92,0.6307,0.6167,0.6236,180.0
11,ஓ,U+0B93,0.6778,0.6778,0.6778,180.0
12,ஔ,U+0B94,0.7746,0.7444,0.7592,180.0
13,ஃ,U+0B83,0.9600,0.9333,0.9465,180.0
14,க்,U+0B95 U+0BCD,0.8208,0.7889,0.8045,180.0
15,க,U+0B95,0.6257,0.6222,0.6240,180.0
16,கி,U+0B95 U+0BBF,0.4962,0.7278,0.5901,180.0
17,கீ,U+0B95 U+0BC0,0.5768,0.7722,0.6603,180.0
18,கு,U+0B95 U+0BC1,0.6205,0.5722,0.5954,180.0
19,கூ,U+0B95 U+0BC2,0.8564,0.9278,0.8907,180.0
20,ச்,U+0B9A U+0BCD,0.8832,0.6722,0.7634,180.0
21,ச,U+0B9A,0.8492,0.5944,0.6993,180.0
22,சி,U+0B9A U+0BBF,0.8385,0.6056,0.7032,180.0
23,சீ,U+0B9A U+0BC0,0.5918,0.8056,0.6824,180.0
24,சு,U+0B9A U+0BC1,0.7363,0.8222,0.7769,180.0
25,சூ,U+0B9A U+0BC2,0.9167,0.4278,0.5833,180.0
26,ங்,U+0B99 U+0BCD,0.6473,0.8056,0.7178,180.0
27,ங,U+0B99,0.7908,0.6722,0.7267,180.0
28,ஙி,U+0B99 U+0BBF,0.9073,0.7611,0.8278,180.0
29,ஙீ,U+0B99 U+0BC0,0.7663,0.7833,0.7747,180.0
30,ஙு,U+0B99 U+0BC1,0.9022,0.9222,0.9121,180.0
31,ஙூ,U+0B99 U+0BC2,0.9027,0.9278,0.9151,180.0
32,ஞ்,U+0B9E U+0BCD,0.4866,0.8056,0.6067,180.0
33,ஞ,U+0B9E,0.5044,0.6389,0.5637,180.0
34,ஞி,U+0B9E U+0BBF,0.7345,0.7222,0.7283,180.0
35,ஞீ,U+0B9E U+0BC0,0.8211,0.5611,0.6667,180.0
36,ஞு,U+0B9E U+0BC1,0.8299,0.6778,0.7462,180.0
37,ஞூ,U+0B9E U+0BC2,0.8426,0.5056,0.6319,180.0
38,ட்,U+0B9F U+0BCD,0.9118,0.5167,0.6596,180.0
39,ட,U+0B9F,0.7149,0.9333,0.8096,180.0
40,டி,U+0B9F U+0BBF,0.7730,0.7944,0.7836,180.0
41,டீ,U+0B9F U+0BC0,0.8452,0.7278,0.7821,180.0
42,டு,U+0B9F U+0BC1,0.5311,0.9000,0.6680,180.0
43,டூ,U+0B9F U+0BC2,0.9570,0.4944,0.6520,180.0
44,ண்,U+0BA3 U+0BCD,0.7629,0.8222,0.7914,180.0
45,ண,U+0BA3,0.8137,0.7278,0.7683,180.0
46,ணி,U+0BA3 U+0BBF,0.5362,0.7000,0.6072,180.0
47,ணீ,U+0BA3 U+0BC0,0.8047,0.5722,0.6688,180.0
48,ணு,U+0BA3 U+0BC1,0.8571,0.5333,0.6575,180.0
49,ணூ,U+0BA3 U+0BC2,0.5730,0.8500,0.6846,180.0
50,த்,U+0BA4 U+0BCD,0.7917,0.5278,0.6333,180.0
51,த,U+0BA4,0.7606,0.7944,0.7772,180.0
52,தி,U+0BA4 U+0BBF,0.6526,0.6889,0.6703,180.0
53,தீ,U+0BA4 U+0BC0,0.6111,0.6722,0.6402,180.0
54,து,U+0BA4 U+0BC1,0.6324,0.7167,0.6719,180.0
55,தூ,U+0BA4 U+0BC2,0.7600,0.6333,0.6909,180.0
56,ந்,U+0BA8 U+0BCD,0.4933,0.8222,0.6167,180.0
57,ந,U+0BA8,0.8954,0.7611,0.8228,180.0
58,நி,U+0BA8 U+0BBF,0.5673,0.6556,0.6082,180.0
59,நீ,U+0BA8 U+0BC0,0.6195,0.7056,0.6597,180.0
60,நு,U+0BA8 U+0BC1,0.7730,0.7000,0.7347,180.0
61,நூ,U+0BA8 U+0BC2,0.5660,0.7389,0.6410,180.0
62,ப்,U+0BAA U+0BCD,0.7708,0.8222,0.7957,180.0
63,ப,U+0BAA,0.9924,0.7278,0.8397,180.0
64,பி,U+0BAA U+0BBF,0.9328,0.6167,0.7425,180.0
65,பீ,U+0BAA U+0BC0,0.8059,0.7611,0.7829,180.0
66,பு,U+0BAA U+0BC1,0.9048,0.8444,0.8736,180.0
67,பூ,U+0BAA U+0BC2,0.7333,0.9167,0.8148,180.0
68,ம்,U+0BAE U+0BCD,0.7500,0.8000,0.7742,180.0
69,ம,U+0BAE,0.7614,0.8333,0.7958,180.0
70,மி,U+0BAE U+0BBF,0.7604,0.8111,0.7849,180.0
71,மீ,U+0BAE U+0BC0,0.7063,0.6278,0.6647,180.0
72,மு,U+0BAE U+0BC1,0.6262,0.3722,0.4669,180.0
73,மூ,U+0BAE U+0BC2,0.4706,0.5333,0.5000,180.0
74,ய்,U+0BAF U+0BCD,0.6735,0.9167,0.7765,180.0
75,ய,U+0BAF,0.8443,0.7833,0.8127,180.0
76,யி,U+0BAF U+0BBF,0.8547,0.5556,0.6734,180.0
77,யீ,U+0BAF U+0BC0,0.6777,0.7944,0.7315,180.0
78,யு,U+0BAF U+0BC1,0.7570,0.9000,0.8223,180.0
79,யூ,U+0BAF U+0BC2,0.8523,0.7056,0.7720,180.0
80,ர்,U+0BB0 U+0BCD,0.7360,0.7278,0.7318,180.0
81,ர,U+0BB0,0.9118,0.6889,0.7848,180.0
